MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Query 5,"0,94","1,1","1,11","1,04","1,22","1,06","1,07","1,5","0,98","0,99",,,,,,,,,,,,,,,,
Query 6,"0,85","0,58","0,88","0,85","0,82","0,61","0,77","0,84","0,89","0,88",,,,,,,,,,,,,,,,
Query 7,"1,09","0,81","0,88","0,82","0,94","0,65","0,78","0,89","0,6","0,71",,,,,,,,,,,Maria Index Q6,1000,"1,18","0,87","0,86",
,,,,,,,,,,,,,,,,,,,,,,10000,"0,87","1,01","1,13",
,"77,831","108,935","111,523","1,101","0,797","0,817",,,,,,,,,,,,,,,,100000,"1,41","1,05","1,07",
,,,,,,,,,,,,,,,,,,,,,,,,,,
mariadb no index,Try 1 no index ,Try 2 no index ,Try 3 no index ,Avrage no index,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,017","0,021","0,019","0,019","0,02","0,018","0,02","0,019","0,018","0,017","0,018","0,019","0,018","0,015","0,02","0,017","0,018","0,016","0,018","0,02","0,018","0,019","0,017","0,018","0,018","0,015"
,"0,02","0,02","0,022","0,021","0,021","0,017","0,018","0,019","0,7","0,61","0,61","0,61","0,61%","0,61","0,61","0,6","0,61","0,61","0,61","0,61","0,61","0,61","0,61","0,61","0,61","0,6"
,"0,021","0,388","0,014","0,141","0,181","0,6","0,82","0,81","0,8","0,8","0,81","0,8","0,82","0,8","0,78","0,81",74,76,81,80,84,"0,82","0,82","0,91","0,78","0,8"
,"0,018","0,021","0,017","0,019","0,019","0,6","0,6","0,6","0,55","0,62","0,6","0,55","0,56","0,53","0,59","0,6","0,6","0,59","0,55","0,6","0,62","0,59","0,6","0,6","0,6","0,56"
,"0,02","0,019","0,02","0,02","0,02","1,6","1,19","1,2","1,19","1,21","1,31","1,21","1,19","1,2","1,14","1,21","1,21","1,04","1,21","1,19","1,2","1,21","1,43","1,19","1,21","1,04"
,"0,018","0,022","0,019","0,02","0,02","0,4","0,8","0,4","0,69","0,7","0,2","0,2","0,84","0,6","0,2","0,4","0,7","0,4","0,61",74,"0,5","0,2","0,4","0,63","0,77","0,88"
