,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,,,,
Query 6,"0,016","0,021","0,019","0,015","0,02","0,019","0,02","0,017","0,02","0,02",,,,,,,,,,,,,,,,,,,
Query 7,"0,02","0,021","0,02","0,018","0,019","0,019","0,017","0,019","0,017","0,016",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,089","0,518","0,46","0,021","0,019","0,019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mariadb no index,Try 1 no index ,Try 2 no index ,Try 3 no index ,Avrage no index,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,017","0,021","0,019","0,019","0,02","0,018","0,02","0,019","0,018","0,017","0,018","0,019","0,018","0,015","0,02","0,017","0,018","0,016","0,018","0,02","0,018","0,019","0,017","0,018","0,018","0,015",,,
,"0,02","0,02","0,022","0,021","0,021","0,017","0,018","0,019","0,02","0,018","0,019","0,017","0,019","0,021",00.17,"0,017","0,018",00.17,"0,019","0,02",00.19,"0,015","0,017",00.15,"0,016",00.19,,,
,"0,021","0,388","0,014","0,141","0,181",00.20,00.20,00.21,00.18,00.21,00.18,00.20,00.18,00.18,00.17,00.18,00.15,00.16,00.17,00.16,00.19,00.17,00.20,00.21,00.17,00.20,,,
,"0,018","0,021","0,017","0,019","0,019",00.20,00.20,00.20,00.15,00.21,00.20,00.15,00.16,00.14,00.17,00.19,00.20,00.17,00.15,00.20,00.21,00.17,00.19,00.20,00.19,00.16,,,
,"0,02","0,019","0,02","0,02","0,02",00.19,"0,022","0,014","0,022","0,023",00.18,00.21,00.19,00.24,00.17,"0,0022","0,02",00.20,"0,0022",00.19,00.24,00.21,"0,023",00.19,"0,0022",00.20,,,
,"0,018","0,022","0,019","0,02","0,02","0,02",00.21,00.16,00.15,00.18,00.20,00.30,00.22,"0,02",00.20,"0,02",00.18,00.16,00.20,00.15,00.20,00.20,"0,02",00.20,00.20,00.22,,,
,"0,023","0,02","0,019","0,021","0,02","0,022","0,22","0,016","0,017","0,018","0,018","0,02","0,02","0,021","0,016","0,017","0,022","0,017","0,02","0,018","0,022","0,02","0,016","0,018","0,02","0,019",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,018","0,019","0,062","0,015","0,018","0,017","0,034",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,021","0,021","0,017","0,021","0,017","0,019","0,019","0,02","0,022","0,017","0,022","0,019","0,021","0,018","0,02","0,02","0,02","0,022","0,02","0,018","0,02","0,022","0,02","0,021","0,018","0,019",,,
,"0,026","0,025","0,024","0,022","0,024","0,024","0,029","0,025","0,023","0,021","0,023","0,021","0,023","0,026","0,024","0,026","0,024","0,021","0,024","0,023","0,023","0,025","0,021","0,024","0,02","0,025",,,
,"0,027","0,027","0,023","0,023","0,024","0,026","0,024","0,024","0,029","0,022","0,022","0,025","0,024","0,026","0,025","0,025","0,025","0,026","0,027","0,026","0,028","0,024","0,028","0,026","0,025","0,026",,,
,"0,006","0,024","0,026","0,024","0,025","0,021","0,024","0,022","0,021","0,025","0,023","0,018","0,022","0,021","0,022","0,022","0,024","0,022","0,022","0,023","0,024","0,026","0,022","0,023","0,024","0,021",,,
5,"0,021","0,022","0,019","0,017","0,02","0,024","0,021","0,018","0,017","0,017","0,022","0,021","0,019","0,018","0,021","0,019","0,018","0,02","0,02","0,017","0,021","0,018","0,021","0,018","0,021","0,02",,,
,"0,018","0,018","0,018","0,016","0,016","0,019","0,017","0,02","0,018","0,016","0,016","0,018","0,021","0,021","0,019","0,018","0,019","0,018","0,021","0,018","0,019","0,019","0,017","0,02","/ 0,019","0,017",,,
,"0,023","0,015","0,021","0,021","0,018","0,02","0,018","0,018","0,02","0,023","0,022","0,019","0,018","0,021","0,018","0,021","0,021","0,02","0,019","0,018","0,018","0,018","0,019","0,017","0,02","0,022",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,02","0,024","0,025","0,022","0,02","0,018","0,02",,,,,,,,,,,,,,,,,,,,,,
